Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Gender,Age,Education,Discipline,Student,Ethnicity,Country,Condition,Video1_Duration,Video2_Duration,Video_Order,BHS_Duration,BHS_1,BHS_2,BHS_3,BHS_4,BHS_5,BHS_6,BHS_7,AttentionCheck_3,BHS_8,BHS_9,BHS_10,BHS_11,BHS_12,BHS_13,BHS_14,BHS_15,BHS_16,BHS_17,BHS_18,BHS_19,BHS_20,RRS_Duration,RRS_1,RRS_2,RRS_3,RRS_4,RRS_5,RRS_6,RRS_7,RRS_8,RRS_9,RRS_10,RRS_11,RRS_12,RRS_13,RRS_14,RRS_15,AttentionCheck_1,RRS_16,RRS_17,RRS_18,RRS_19,RRS_20,RRS_21,RRS_22,IAS_Duration,IAS_1,IAS_20,IAS_11,IAS_2,IAS_13,IAS_21,IAS_17,IAS_9,IAS_8,IAS_7,IAS_6,IAS_10,IAS_15,IAS_18,IAS_12,IAS_16,IAS_5,IAS_19,IAS_14,IAS_4,IAS_3,AttentionCheck_2,RRS2_Duration,RRSS_1,RRSS_2,RRSS_3,RRSS_4,RRSS_5,RRSS_6,RRSS_7,RRSS_8,RRSS_9,RRSS_10,Awe_Duration,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_16,AWE_17,AWE_18,AWE_19,AttentionCheck_4,AWE_20,AWE_21,AWE_22,AWE_23,AWE_24,AWE_25,AWE_26,AWE_27,AWE_28,AWE_29,AWE_30,STS_Duration,STS_1,STS_2,STS_3,AttentionCheck_5,STS_4,STS_5,STS_6,STS_7,STS_8,STS_9,STS_10,STS_11,STS_12,STS_13,STS_14,STS_15,Discipline-Comment
yhay4yrfx1,29.205616666666668,2024-07-03 15:02:28.857362+00:00,03/07/2024,15:32:21,firefox,False,Windows 10,1536.0,731.0,Male,21,High school,,True,South Asian,United Kingdom,Entertainment,5.2146333333333335,10.33535,pys47zaxZ90 - CizwH_T7pjg,1.3439666666666668,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1.6487,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,1.871,0.81,0.61,0.69,0.85,0.59,0.1,0.59,0.81,0.55,0.78,0.85,0.87,1,0.58,0.82,0.52,0.81,0.5,0.61,0.82,0.73,0.25,0.9120166666666666,1.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.5070166666666664,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,4.4383,4.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,
rwdnmpyxbv,25.18365,2024-07-03 15:01:03.445029+00:00,03/07/2024,15:35:55,chrome,False,Windows 10,1504.0,868.0,Male,30,High school,,False,White,England,Entertainment,5.284583333333333,5.334983333333333,pys47zaxZ90 - CizwH_T7pjg,1.65785,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.3045666666666667,1.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.9413566666762034,0.77,0.81,0.86,0.87,0.86,0.27,0.86,0.88,0.18,0.35,0.36,0.88,0.86,0.13,0.64,0.04,0.79,0.29,0.33,0.86,0.86,0.16,0.8526166666666666,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.7067666666666668,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,1.4929833333333333,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,
4xh50xc4yq,22.657449999999997,2024-07-03 15:00:54.713496+00:00,03/07/2024,15:38:11,chrome,False,Windows 10,1536.0,791.0,Female,39,Bachelor,"Psychology, Neuroscience",False,White,UK,Entertainment,5.440533333333334,5.162683333333334,CizwH_T7pjg - pys47zaxZ90,2.3855500000000003,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.6660499999999998,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.919633333333333,0.83,0.79,0.91,0.63,0.86,0.78,1,0.63,0.96,0.42,1,0.86,0.95,0.29,0.68,0.88,0.98,0.61,0.38,0.7,0.91,0.74,0.5395833333333333,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.25725,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0601333333333334,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,
9yvjaj6wbv,16.586466666666666,2024-07-03 15:00:31.688096+00:00,03/07/2024,15:43:52,chrome,False,Windows 10,1920.0,911.0,Female,24,Bachelor,"Literature, Languages",True,White,UK,Entertainment,4.932683333333333,5.080333333333333,pys47zaxZ90 - CizwH_T7pjg,1.1042833333333335,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1.1177833333333331,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.2373133333332835,0.65,0.81,0.29,0.2,0.77,0.39,0.36,0.65,0.78,0.77,0.75,0.86,0.22,0.08,0.42,0.04,0.13,0.09,0.63,0.54,0.79,0.04,0.4658833333333333,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.3913499999999999,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6920833333333333,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,
wxgnk02xcv,25.76158333333333,2024-07-03 15:00:01.703708+00:00,03/07/2024,15:34:10,edge-chromium,False,Windows 10,1272.0,598.0,Female,53,Bachelor,"Political Science, Law",False,White,United Kingdom,Entertainment,5.471,5.37,CizwH_T7pjg - pys47zaxZ90,1.8673333333333335,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2.5439,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.3145099999999004,0.56,0.29,0.86,0.32,0.44,0.62,0.36,0.76,1,0.86,1,0.66,0.77,0.12,0.82,0.37,0.93,0.35,0.36,0.72,0.61,0.4,1.2051666666666667,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.603283333333334,7.0,6.0,6.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.5168166666666667,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,
gp6ofg5ff5,22.859266666666667,2024-07-03 14:57:16.624238+00:00,03/07/2024,15:34:21,chrome,False,Mac OS,1680.0,912.0,Male,29,Bachelor,"Engineering, Computer Science",False,South Asian,England,Entertainment,4.96995,5.20275,pys47zaxZ90 - CizwH_T7pjg,2.5933,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.1756666666666664,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0552433333333275,0.86,0.86,1,0.74,1,0.9,0.5,0.5,1,1,1,0.81,0.77,0.5,1,0.88,1,1,0.6,0.77,0.87,0.85,0.9281166666666666,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.49675,5.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5645166666666666,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,
ljxmdu2b5j,25.120116666666668,2024-07-03 14:57:02.056672+00:00,03/07/2024,15:31:49,chrome,False,Windows 10,1536.0,703.0,Female,57,Bachelor,"Engineering, Computer Science",False,Hispanic/Latino,UK,Entertainment,5.3168,6.1587499999999995,pys47zaxZ90 - CizwH_T7pjg,1.7794999999999999,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2.31955,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.570051666666567,0.26,0.22,0.89,1,0.21,0.17,1,0.93,0.88,0.79,1,0.15,1,0,1,0.26,0.13,0.85,1,1,0.25,0,0.7913333333333333,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.6541,5.0,5.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7211166666666666,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,
b7t1b0c5sj,25.8678,2024-07-03 14:56:59.421605+00:00,03/07/2024,15:31:03,edge-chromium,False,Windows 10,1488.0,838.0,Female,52,Bachelor,Medicine,True,White,England,Entertainment,5.20275,5.367416666666667,pys47zaxZ90 - CizwH_T7pjg,2.15135,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.149016666666667,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.02005,0.4,1,0.8,0.52,1,0.42,0.88,0.66,1,0.77,1,0.62,0.87,0.6,0.77,0.24,1,0.78,0.64,0.78,0.64,0.86,1.0183333333333333,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.1767666666666665,5.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,6.0,1.8679333333333332,3.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,
htdblr1e4y,21.190783333333332,2024-07-03 14:56:07.248647+00:00,03/07/2024,15:42:14,chrome,False,Windows 10,1280.0,585.0,Female,30,Bachelor,other,False,White,UK,Entertainment,6.1251,5.34245,CizwH_T7pjg - pys47zaxZ90,1.1399166666666667,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.7002333333333333,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.274075,0.41,0.39,0.67,0.41,0.34,0.34,0.74,0.65,0.31,0.66,0.68,0.67,0.66,0.7,0.72,0.28,0.62,0.71,0.58,0.71,0.33,0.68,0.5980333333333333,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0936666666666666,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6577,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,Paramedic Science
tkszpfng8o,21.238166666666665,2024-07-03 14:55:44.488212+00:00,03/07/2024,15:34:27,chrome,False,Windows 10,1280.0,631.0,Female,52,Master,"Business, Economics",False,White,uk,Entertainment,5.344033333333333,5.046983333333333,CizwH_T7pjg - pys47zaxZ90,3.549783333333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3796166666666667,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.9688233333309492,0.85,0.87,0.87,0.28,0.77,0.86,0.88,0.9,0.89,0.76,0.89,0.73,0.86,0.37,0.88,0.87,0.93,0.86,0.74,0.36,0.88,0.55,0.8660333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.418266666666667,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,0.99225,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,
t77k74ysvb,21.757833333333334,2024-07-03 14:55:23.197708+00:00,03/07/2024,15:33:35,chrome,False,Windows 10,1280.0,593.0,Male,60,Bachelor,other,False,White,,Entertainment,5.72405,5.057116666666667,CizwH_T7pjg - pys47zaxZ90,1.6148166666666666,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.9101333333333335,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.5881399999999752,0.86,0.74,1,0.68,1,0.77,1,0.76,0.96,0.7,1,0.72,1,1,1,0.47,1,1,1,1,0.74,0.25,0.7269333333333333,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.837216666666667,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2057166666666668,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,Consultancy
6qomfv83tn,26.392999999999997,2024-07-03 14:54:45.399923+00:00,03/07/2024,15:28:17,firefox,False,Windows 10,1504.0,842.0,Male,21,Bachelor,"Political Science, Law",False,East Asian,UK,Entertainment,9.921466666666667,6.210566666666667,pys47zaxZ90 - CizwH_T7pjg,1.3744833333333333,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2.359583333333333,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.62345,0.76,1,1,0.32,0.98,0.98,0.65,0.8,0.62,1,1,0.69,0.89,0.07,0.13,0,0.97,0.75,0.88,1,0.72,0.21,0.5466333333333334,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.44655,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1100166666666667,4.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,
1j2c05xwku,19.9054,2024-07-03 14:53:58.599645+00:00,03/07/2024,15:33:55,chrome,False,Windows 10,1920.0,991.0,Female,41,High school,,False,White,england,Entertainment,5.463833333333333,5.0197,CizwH_T7pjg - pys47zaxZ90,1.2187666666666668,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2.0005,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.6042033333333205,0.9,0.54,0.71,0.63,0.66,0.39,0.7,0.67,0.7,0.71,0.45,0.59,0.61,0.32,0.73,0.23,0.83,0.7,0.44,0.67,0.75,0.21,0.51385,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.4329166666666664,5.0,5.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,0.9573,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,
lq4zv47dvv,18.042366666666666,2024-07-03 14:53:56.289573+00:00,03/07/2024,15:35:46,chrome,False,Windows 10,1280.0,585.0,Female,36,Bachelor,"Engineering, Computer Science",False,White,UK,Entertainment,5.178216666666667,4.875016666666666,CizwH_T7pjg - pys47zaxZ90,1.16365,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1.5152166666666667,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.5374316666665175,0.68,0.31,0.73,0.85,0.38,0.45,0.67,0.74,0.83,0.72,0.94,0.36,0.49,0.44,0.5,0.31,0.79,0.36,0.94,0.85,0.98,0.42,0.52015,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.86765,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,0.8319166666666666,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,
vev5wclcdf,24.527333333333335,2024-07-03 14:53:44.466538+00:00,03/07/2024,15:29:08,safari,False,Mac OS,1440.0,820.0,Female,22,Bachelor,"Business, Economics",False,Black,United Kingdom,Entertainment,5.0176,5.151,pys47zaxZ90 - CizwH_T7pjg,1.9373333333333334,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2.4298833333333336,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.9949833333333333,1,1,1,0.61,1,0.91,1,1,1,0.94,0.28,0.5,1,0.81,1,0.59,1,1,1,0.43,1,0.4,0.8735499999999999,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.184366666666667,5.0,5.0,5.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,1.62595,3.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,
fzrdttt8od,22.791416666666667,2024-07-03 14:48:14.710002+00:00,03/07/2024,15:25:19,edge-chromium,False,Windows 10,1318.0,654.0,Female,62,High school,,False,White,uk,Entertainment,4.765566666666667,5.353516666666667,pys47zaxZ90 - CizwH_T7pjg,2.1211166666666665,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2.689416666666667,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.2108300000031784,0.63,0.42,0.69,0.63,0.59,0.5,0.62,0.57,0.31,0.63,0.6,0.42,0.68,0.71,0.65,0.68,0.42,0.63,0.58,0.62,0.5,0.35,0.7206833333333333,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5895333333333337,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4080333333333332,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,
nnx0mqj397,21.76455,2024-07-03 14:46:19.866730+00:00,03/07/2024,10:24:26,chrome,False,Windows 10,1536.0,730.0,Female,41,Bachelor,"Biology, Chemistry, Physics",False,Prefer not to say,USA,Entertainment,5.013216666666667,4.478266666666667,pys47zaxZ90 - CizwH_T7pjg,2.352533333333333,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.941216666666667,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.7830616666674615,0.28,0.77,0.5,0.77,0.51,0.77,0.78,0.78,0.22,0.23,0.27,0.23,0.79,0.27,0.8,0.27,0.24,0.79,0.23,0.77,0.29,0.25,0.9503666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.5278833333333335,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,6.0,7.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,0.9227166666666666,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,
tbx77ccc2b,20.73368333333333,2024-07-03 14:44:52.334484+00:00,03/07/2024,15:24:11,chrome,False,Windows 10,1920.0,911.0,Male,52,Bachelor,"Engineering, Computer Science",False,White,England,Entertainment,4.5186,5.1219,pys47zaxZ90 - CizwH_T7pjg,1.8171666666666666,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.0813333333333333,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.280625,1,0.67,1,0.5,0.72,0.5,0.93,0.86,0.74,0.5,1,0.5,0.85,0.73,1,0.5,0.5,1,0.8,0.5,0.93,0.22,1.0676333333333334,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.9860333333333335,4.0,6.0,5.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,1.27085,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,
